lat,lon,protected_multiplier
41.25,43.25,1
41.25,43.5,1
41.25,43.75,1
41.25,44.0,1
41.25,44.25,1
41.25,44.5,1
41.25,44.75,1
41.25,45.75,1
41.25,46.0,0
41.25,46.25,0
41.25,46.5,1
41.5,41.75,0
41.5,42.0,1
41.5,42.25,1
41.5,42.5,0
41.5,43.0,0
41.5,43.25,1
41.5,43.5,1
41.5,43.75,1
41.5,44.0,1
41.5,44.25,1
41.5,44.5,1
41.5,44.75,1
41.5,45.0,1
41.5,45.25,1
41.5,45.5,1
41.5,45.75,1
41.5,46.0,1
41.5,46.25,1
41.75,41.75,1
41.75,42.0,0
41.75,42.25,1
41.75,42.5,1
41.75,42.75,1
41.75,43.0,0
41.75,43.25,1
41.75,43.5,1
41.75,43.75,1
41.75,44.0,1
41.75,44.25,1
41.75,44.5,1
41.75,44.75,1
41.75,45.0,1
41.75,45.25,1
41.75,45.5,0
41.75,45.75,0
41.75,46.0,0
42.0,42.0,1
42.0,42.25,1
42.0,42.5,1
42.0,42.75,1
42.0,43.0,1
42.0,43.25,1
42.0,43.5,0
42.0,43.75,1
42.0,44.0,1
42.0,44.25,0
42.0,44.5,1
42.0,44.75,1
42.0,45.0,1
42.0,45.25,1
42.0,45.5,1
42.0,45.75,0
42.0,46.0,1
42.25,41.75,1
42.25,42.0,1
42.25,42.25,1
42.25,42.5,1
42.25,42.75,1
42.25,43.0,1
42.25,43.25,1
42.25,43.5,1
42.25,43.75,1
42.25,44.0,1
42.25,44.25,1
42.25,44.5,1
42.25,44.75,1
42.25,45.0,1
42.25,45.25,0
42.25,45.5,1
42.5,41.75,1
42.5,42.0,1
42.5,42.25,1
42.5,42.5,0
42.5,42.75,1
42.5,43.0,1
42.5,43.25,1
42.5,43.5,1
42.5,43.75,0
42.5,44.0,1
42.5,44.25,1
42.5,44.5,1
42.5,44.75,0
42.5,45.0,0
42.5,45.25,0
42.5,45.5,0
42.75,41.5,1
42.75,41.75,1
42.75,42.0,1
42.75,42.25,0
42.75,42.5,0
42.75,42.75,1
42.75,43.0,0
42.75,43.25,1
42.75,43.5,0
42.75,43.75,0
43.0,41.0,1
43.0,41.25,0
43.0,41.5,1
43.0,41.75,1
43.0,42.0,1
43.0,42.25,1
43.0,42.5,1
43.0,42.75,1
43.0,43.0,1
43.25,40.5,1
43.25,40.75,1
43.25,41.0,1
43.25,41.25,1
43.25,41.5,1
43.5,40.25,1
43.5,40.5,0
