latitude,raw_irradiance,longitude,month,aspect,slope,declination,adjusted_irradiance
41.25,2.04,43.25,1,218.88449,10.505803,-20.9,2.553806701617031
41.25,3.13,43.25,2,218.88449,10.505803,-13.0,3.6946284819887483
41.25,3.65,43.25,3,218.88449,10.505803,-2.4,4.08301000407472
41.25,4.88,43.25,4,218.88449,10.505803,9.4,5.228478877790177
41.25,5.42,43.25,5,218.88449,10.505803,18.8,5.646998076023926
41.25,6.28,43.25,6,218.88449,10.505803,23.1,6.466918655590596
41.25,6.37,43.25,7,218.88449,10.505803,21.2,6.593178015008801
41.25,6.07,43.25,8,218.88449,10.505803,13.5,6.42151675990495
41.25,4.63,43.25,9,218.88449,10.505803,2.2,5.085480741301181
41.25,3.21,43.25,10,218.88449,10.505803,-9.6,3.7158084240872244
41.25,2.19,43.25,11,218.88449,10.505803,-18.9,2.6949330416120363
41.25,1.69,43.25,12,218.88449,10.505803,-23.0,2.1589615128669712
41.25,2.04,43.5,1,38.290165,6.4111643,-20.9,1.6888534213061102
41.25,3.13,43.5,2,38.290165,6.4111643,-13.0,2.7293716707476667
41.25,3.65,43.5,3,38.290165,6.4111643,-2.4,3.3220104421259333
41.25,4.88,43.5,4,38.290165,6.4111643,9.4,4.583783420370589
41.25,5.42,43.5,5,38.290165,6.4111643,18.8,5.189830144997935
41.25,6.28,43.5,6,38.290165,6.4111643,23.1,6.060298433681061
41.25,6.37,43.5,7,38.290165,6.4111643,21.2,6.126414069813438
41.25,6.07,43.5,8,38.290165,6.4111643,13.5,5.752147367226779
41.25,4.63,43.5,9,38.290165,6.4111643,2.2,4.271861830351513
41.25,3.21,43.5,10,38.290165,6.4111643,-9.6,2.8443642220754017
41.25,2.19,43.5,11,38.290165,6.4111643,-18.9,1.8418420638646062
41.25,1.69,43.5,12,38.290165,6.4111643,-23.0,1.3723568244691107
41.25,2.04,43.75,1,302.00537,5.504755,-20.9,1.8342896938043112
41.25,3.13,43.75,2,302.00537,5.504755,-13.0,2.8945124831877744
41.25,3.65,43.75,3,302.00537,5.504755,-2.4,3.4561392657097096
41.25,4.88,43.75,4,302.00537,5.504755,9.4,4.703360898515649
41.25,5.42,43.75,5,302.00537,5.504755,18.8,5.281143899354145
41.25,6.28,43.75,6,302.00537,5.504755,23.1,6.146370523415542
41.25,6.37,43.75,7,302.00537,5.504755,21.2,6.222426445740023
41.25,6.07,43.75,8,302.00537,5.504755,13.5,5.879638836044705
41.25,4.63,43.75,9,302.00537,5.504755,2.2,4.417685604253649
41.25,3.21,43.75,10,302.00537,5.504755,-9.6,2.994733261541184
41.25,2.19,43.75,11,302.00537,5.504755,-18.9,1.9858758521926088
41.25,1.69,43.75,12,302.00537,5.504755,-23.0,1.504069665414396
41.25,1.88,44.0,1,23.838737,11.447775,-20.9,1.1966348606882005
41.25,2.66,44.0,2,23.838737,11.447775,-13.0,1.9362888049148164
41.25,3.39,44.0,3,23.838737,11.447775,-2.4,2.7354705334581753
41.25,4.6,44.0,4,23.838737,11.447775,9.4,3.9896982009394204
41.25,5.35,44.0,5,23.838737,11.447775,18.8,4.8422548088088115
41.25,6.2,44.0,6,23.838737,11.447775,23.1,5.707679779849069
41.25,6.07,44.0,7,23.838737,11.447775,21.2,5.547073305929142
41.25,5.68,44.0,8,23.838737,11.447775,13.5,5.024483107819149
41.25,4.2,44.0,9,23.838737,11.447775,2.2,3.4979012064859085
41.25,3.03,44.0,10,23.838737,11.447775,-9.6,2.294062630025005
41.25,2.16,44.0,11,23.838737,11.447775,-18.9,1.4337131631871884
41.25,1.62,44.0,12,23.838737,11.447775,-23.0,0.9780430418781503
41.25,1.88,44.25,1,24.443954,5.959938,-20.9,1.5334945376216547
41.25,2.66,44.25,2,24.443954,5.959938,-13.0,2.2963504925438083
41.25,3.39,44.25,3,24.443954,5.959938,-2.4,3.065988187658125
41.25,4.6,44.25,4,24.443954,5.959938,9.4,4.305010241247532
41.25,5.35,44.25,5,24.443954,5.959938,18.8,5.112124777614821
41.25,6.2,44.25,6,24.443954,5.959938,23.1,5.974366558070652
41.25,6.07,44.25,7,24.443954,5.959938,21.2,5.827786327592103
41.25,5.68,44.25,8,24.443954,5.959938,13.5,5.3668169316559675
41.25,4.2,44.25,9,24.443954,5.959938,2.2,3.8552316951272028
41.25,3.03,44.25,10,24.443954,5.959938,-9.6,2.661817207395705
