latitude,longitude,suitability_score
41.25,43.25,3.1
41.25,43.5,2.23
41.25,43.75,2.39
41.25,44.0,1.67
41.25,44.25,2.02
41.25,44.5,2.25
41.25,44.75,2.47
41.25,45.75,2.37
41.25,46.0,2.8
41.25,46.25,2.29
41.25,46.5,1.84
41.5,41.75,0.26
41.5,42.0,3.9499999999999997
41.5,42.25,1.7400000000000002
41.5,42.5,3.06
41.5,43.0,2.46
41.5,43.25,1.84
41.5,43.5,2.48
41.5,43.75,2.71
41.5,44.0,2.13
41.5,44.25,0.5399999999999999
41.5,44.5,2.39
41.5,44.75,2.2
41.5,45.0,2.88
41.5,45.25,2.15
41.5,45.5,2.54
41.5,45.75,2.59
41.5,46.0,3.12
41.5,46.25,2.34
41.75,41.75,2.8
41.75,42.0,0.76
41.75,42.25,3.23
41.75,42.5,2.41
41.75,42.75,0.51
41.75,43.0,2.17
41.75,43.25,0.37
41.75,43.5,2.52
41.75,43.75,2.76
41.75,44.0,1.41
41.75,44.25,1.84
41.75,44.5,3.2600000000000002
41.75,44.75,1.5899999999999999
41.75,45.0,1.91
41.75,45.25,2.36
41.75,45.5,2.93
41.75,45.75,1.38
41.75,46.0,2.22
42.0,42.0,2.01
42.0,42.25,2.08
42.0,42.5,2.78
42.0,42.75,0.68
42.0,43.0,2.4
42.0,43.25,2.27
42.0,43.5,3.42
42.0,43.75,2.33
42.0,44.0,2.47
42.0,44.25,2.73
42.0,44.5,2.46
42.0,44.75,2.7
42.0,45.0,2.36
42.0,45.25,1.79
42.0,45.5,2.81
42.0,45.75,3.4699999999999998
42.0,46.0,0.1
42.25,41.75,2.2600000000000002
42.25,42.0,2.0
42.25,42.25,2.03
42.25,42.5,2.0
42.25,42.75,1.8800000000000001
42.25,43.0,2.42
42.25,43.25,1.72
42.25,43.5,2.7
42.25,43.75,1.9
42.25,44.0,0.43000000000000005
42.25,44.25,3.52
42.25,44.5,1.41
42.25,44.75,0.23
42.25,45.0,0.37
42.25,45.25,3.36
42.25,45.5,4.12
42.5,41.75,2.24
42.5,42.0,2.15
42.5,42.25,1.7
42.5,42.5,2.2800000000000002
42.5,42.75,2.65
42.5,43.0,2.21
42.5,43.25,2.23
42.5,43.5,0.21
42.5,43.75,3.11
42.5,44.0,1.86
42.5,44.25,0.15
42.5,44.5,3.4
42.5,44.75,1.47
42.5,45.0,3.66
42.5,45.25,2.6
42.5,45.5,2.74
42.75,41.5,2.07
42.75,41.75,2.3000000000000003
42.75,42.0,2.36
42.75,42.25,3.24
42.75,42.5,2.82
42.75,42.75,2.5700000000000003
42.75,43.0,2.93
42.75,43.25,2.2
42.75,43.5,0.39
42.75,43.75,2.77
43.0,41.0,2.2800000000000002
43.0,41.25,1.0
43.0,41.5,3.7
43.0,41.75,1.46
43.0,42.0,0.92
43.0,42.25,2.88
43.0,42.5,0.42000000000000004
43.0,42.75,1.18
43.0,43.0,0.63
43.25,40.5,2.55
43.25,40.75,3.65
43.25,41.0,3.54
43.25,41.25,0.41000000000000003
43.25,41.5,2.66
43.5,40.25,0.18000000000000002
43.5,40.5,1.88
