latitude,longitude,month,irradiance
41.25,43.25,01,2.04
41.25,43.25,02,3.13
41.25,43.25,03,3.65
41.25,43.25,04,4.88
41.25,43.25,05,5.42
41.25,43.25,06,6.28
41.25,43.25,07,6.37
41.25,43.25,08,6.07
41.25,43.25,09,4.63
41.25,43.25,10,3.21
41.25,43.25,11,2.19
41.25,43.25,12,1.69
41.25,43.25,13,4.13
41.25,43.5,01,2.04
41.25,43.5,02,3.13
41.25,43.5,03,3.65
41.25,43.5,04,4.88
41.25,43.5,05,5.42
41.25,43.5,06,6.28
41.25,43.5,07,6.37
41.25,43.5,08,6.07
41.25,43.5,09,4.63
41.25,43.5,10,3.21
41.25,43.5,11,2.19
41.25,43.5,12,1.69
41.25,43.5,13,4.13
41.25,43.75,01,2.04
41.25,43.75,02,3.13
41.25,43.75,03,3.65
41.25,43.75,04,4.88
41.25,43.75,05,5.42
41.25,43.75,06,6.28
41.25,43.75,07,6.37
41.25,43.75,08,6.07
41.25,43.75,09,4.63
41.25,43.75,10,3.21
41.25,43.75,11,2.19
41.25,43.75,12,1.69
41.25,43.75,13,4.13
41.25,44.0,01,1.88
41.25,44.0,02,2.66
41.25,44.0,03,3.39
41.25,44.0,04,4.6
41.25,44.0,05,5.35
41.25,44.0,06,6.2
41.25,44.0,07,6.07
41.25,44.0,08,5.68
41.25,44.0,09,4.2
41.25,44.0,10,3.03
41.25,44.0,11,2.16
41.25,44.0,12,1.62
41.25,44.0,13,3.91
41.25,44.25,01,1.88
41.25,44.25,02,2.66
41.25,44.25,03,3.39
41.25,44.25,04,4.6
41.25,44.25,05,5.35
41.25,44.25,06,6.2
41.25,44.25,07,6.07
41.25,44.25,08,5.68
41.25,44.25,09,4.2
41.25,44.25,10,3.03
41.25,44.25,11,2.16
41.25,44.25,12,1.62
41.25,44.25,13,3.91
41.25,44.5,01,1.88
41.25,44.5,02,2.66
41.25,44.5,03,3.39
41.25,44.5,04,4.6
41.25,44.5,05,5.35
41.25,44.5,06,6.2
41.25,44.5,07,6.07
41.25,44.5,08,5.68
41.25,44.5,09,4.2
41.25,44.5,10,3.03
41.25,44.5,11,2.16
41.25,44.5,12,1.62
41.25,44.5,13,3.91
41.25,44.75,01,1.88
41.25,44.75,02,2.66
41.25,44.75,03,3.39
41.25,44.75,04,4.6
41.25,44.75,05,5.35
41.25,44.75,06,6.2
41.25,44.75,07,6.07
41.25,44.75,08,5.68
41.25,44.75,09,4.2
41.25,44.75,10,3.03
41.25,44.75,11,2.16
41.25,44.75,12,1.62
41.25,44.75,13,3.91
41.25,45.75,01,1.92
41.25,45.75,02,2.61
41.25,45.75,03,3.49
41.25,45.75,04,4.84
41.25,45.75,05,5.7
41.25,45.75,06,6.55
41.25,45.75,07,6.35
41.25,45.75,08,5.88
41.25,45.75,09,4.34
41.25,45.75,10,3.05
41.25,45.75,11,2.15
41.25,45.75,12,1.65
41.25,45.75,13,4.05
41.25,46.0,01,1.82
41.25,46.0,02,2.47
41.25,46.0,03,3.36
41.25,46.0,04,4.65
41.25,46.0,05,5.57
41.25,46.0,06,6.61
41.25,46.0,07,6.29
41.25,46.0,08,5.88
41.25,46.0,09,4.38
41.25,46.0,10,2.98
41.25,46.0,11,2.1
41.25,46.0,12,1.57
41.25,46.0,13,3.98
41.25,46.25,01,1.82
41.25,46.25,02,2.47
41.25,46.25,03,3.36
41.25,46.25,04,4.65
41.25,46.25,05,5.57
41.25,46.25,06,6.61
41.25,46.25,07,6.29
41.25,46.25,08,5.88
41.25,46.25,09,4.38
41.25,46.25,10,2.98
41.25,46.25,11,2.1
41.25,46.25,12,1.57
41.25,46.25,13,3.98
41.25,46.5,01,1.82
41.25,46.5,02,2.47
41.25,46.5,03,3.36
41.25,46.5,04,4.65
41.25,46.5,05,5.57
41.25,46.5,06,6.61
41.25,46.5,07,6.29
41.25,46.5,08,5.88
41.25,46.5,09,4.38
41.25,46.5,10,2.98
41.25,46.5,11,2.1
41.25,46.5,12,1.57
41.25,46.5,13,3.98
41.5,41.75,01,1.64
41.5,41.75,02,2.35
41.5,41.75,03,3.28
41.5,41.75,04,4.67
41.5,41.75,05,5.44
41.5,41.75,06,5.87
41.5,41.75,07,5.45
41.5,41.75,08,5.16
41.5,41.75,09,4.18
41.5,41.75,10,2.94
41.5,41.75,11,2.05
41.5,41.75,12,1.45
41.5,41.75,13,3.71
41.5,42.0,01,1.95
41.5,42.0,02,2.92
41.5,42.0,03,3.73
41.5,42.0,04,4.87
41.5,42.0,05,5.35
41.5,42.0,06,6.04
41.5,42.0,07,5.92
41.5,42.0,08,5.74
41.5,42.0,09,4.52
41.5,42.0,10,3.14
41.5,42.0,11,2.16
41.5,42.0,12,1.68
41.5,42.0,13,4.01
41.5,42.25,01,1.95
41.5,42.25,02,2.92
41.5,42.25,03,3.73
41.5,42.25,04,4.87
41.5,42.25,05,5.35
41.5,42.25,06,6.04
41.5,42.25,07,5.92
41.5,42.25,08,5.74
41.5,42.25,09,4.52
41.5,42.25,10,3.14
41.5,42.25,11,2.16
41.5,42.25,12,1.68
41.5,42.25,13,4.01
41.5,42.5,01,1.95
41.5,42.5,02,2.92
41.5,42.5,03,3.73
41.5,42.5,04,4.87
41.5,42.5,05,5.35
41.5,42.5,06,6.04
41.5,42.5,07,5.92
41.5,42.5,08,5.74
41.5,42.5,09,4.52
41.5,42.5,10,3.14
41.5,42.5,11,2.16
41.5,42.5,12,1.68
41.5,42.5,13,4.01
41.5,43.0,01,2.04
41.5,43.0,02,3.13
41.5,43.0,03,3.65
41.5,43.0,04,4.88
41.5,43.0,05,5.42
41.5,43.0,06,6.28
41.5,43.0,07,6.37
41.5,43.0,08,6.07
41.5,43.0,09,4.63
41.5,43.0,10,3.21
41.5,43.0,11,2.19
41.5,43.0,12,1.69
41.5,43.0,13,4.13
41.5,43.25,01,2.04
41.5,43.25,02,3.13
41.5,43.25,03,3.65
41.5,43.25,04,4.88
41.5,43.25,05,5.42
41.5,43.25,06,6.28
41.5,43.25,07,6.37
41.5,43.25,08,6.07
41.5,43.25,09,4.63
41.5,43.25,10,3.21
41.5,43.25,11,2.19
41.5,43.25,12,1.69
41.5,43.25,13,4.13
41.5,43.5,01,2.04
41.5,43.5,02,3.13
41.5,43.5,03,3.65
41.5,43.5,04,4.88
41.5,43.5,05,5.42
41.5,43.5,06,6.28
41.5,43.5,07,6.37
41.5,43.5,08,6.07
41.5,43.5,09,4.63
41.5,43.5,10,3.21
41.5,43.5,11,2.19
41.5,43.5,12,1.69
41.5,43.5,13,4.13
41.5,43.75,01,2.04
41.5,43.75,02,3.13
41.5,43.75,03,3.65
41.5,43.75,04,4.88
41.5,43.75,05,5.42
41.5,43.75,06,6.28
41.5,43.75,07,6.37
41.5,43.75,08,6.07
41.5,43.75,09,4.63
41.5,43.75,10,3.21
41.5,43.75,11,2.19
41.5,43.75,12,1.69
41.5,43.75,13,4.13
41.5,44.0,01,1.88
41.5,44.0,02,2.66
41.5,44.0,03,3.39
41.5,44.0,04,4.6
41.5,44.0,05,5.35
41.5,44.0,06,6.2
41.5,44.0,07,6.07
41.5,44.0,08,5.68
41.5,44.0,09,4.2
41.5,44.0,10,3.03
41.5,44.0,11,2.16
41.5,44.0,12,1.62
41.5,44.0,13,3.91
41.5,44.25,01,1.88
41.5,44.25,02,2.66
41.5,44.25,03,3.39
41.5,44.25,04,4.6
41.5,44.25,05,5.35
41.5,44.25,06,6.2
41.5,44.25,07,6.07
41.5,44.25,08,5.68
41.5,44.25,09,4.2
41.5,44.25,10,3.03
41.5,44.25,11,2.16
41.5,44.25,12,1.62
41.5,44.25,13,3.91
41.5,44.5,01,1.88
41.5,44.5,02,2.66
41.5,44.5,03,3.39
41.5,44.5,04,4.6
41.5,44.5,05,5.35
41.5,44.5,06,6.2
41.5,44.5,07,6.07
41.5,44.5,08,5.68
41.5,44.5,09,4.2
41.5,44.5,10,3.03
41.5,44.5,11,2.16
41.5,44.5,12,1.62
41.5,44.5,13,3.91
41.5,44.75,01,1.88
41.5,44.75,02,2.66
41.5,44.75,03,3.39
41.5,44.75,04,4.6
41.5,44.75,05,5.35
41.5,44.75,06,6.2
41.5,44.75,07,6.07
41.5,44.75,08,5.68
41.5,44.75,09,4.2
41.5,44.75,10,3.03
41.5,44.75,11,2.16
41.5,44.75,12,1.62
41.5,44.75,13,3.91
41.5,45.0,01,1.92
41.5,45.0,02,2.61
41.5,45.0,03,3.49
41.5,45.0,04,4.84
41.5,45.0,05,5.7
41.5,45.0,06,6.55
