latitude,longitude,year_month,irradiance
41.25,43.25,201501,2.01
41.25,43.25,201502,3.462
41.25,43.25,201503,3.8222
41.25,43.25,201504,4.2982
41.25,43.25,201505,5.2529
41.25,43.25,201506,6.2837
41.25,43.25,201507,6.3631
41.25,43.25,201508,5.9837
41.25,43.25,201509,5.1641
41.25,43.25,201510,2.5855
41.25,43.25,201511,2.0378
41.25,43.25,201512,1.6546
41.25,43.25,201513,4.0776
41.25,43.25,201601,1.981
41.25,43.25,201602,3.1997
41.25,43.25,201603,3.7085
41.25,43.25,201604,5.1113
41.25,43.25,201605,5.0028
41.25,43.25,201606,5.855
41.25,43.25,201607,6.097
41.25,43.25,201608,6.2978
41.25,43.25,201609,4.3622
41.25,43.25,201610,2.9779
41.25,43.25,201611,2.1936
41.25,43.25,201612,1.6313
41.25,43.25,201613,4.0356
41.25,43.25,201701,2.1497
41.25,43.25,201702,3.6722
41.25,43.25,201703,4.2883
41.25,43.25,201704,5.1869
41.25,43.25,201705,5.0722
41.25,43.25,201706,6.5414
41.25,43.25,201707,6.7195
41.25,43.25,201708,6.4438
41.25,43.25,201709,5.0174
41.25,43.25,201710,2.9652
41.25,43.25,201711,2.0513
41.25,43.25,201712,1.8389
41.25,43.25,201713,4.3303
41.25,43.25,201801,1.9178
41.25,43.25,201802,3.1793
41.25,43.25,201803,3.2561
41.25,43.25,201804,5.6882
41.25,43.25,201805,4.993
41.25,43.25,201806,6.3173
41.25,43.25,201807,6.5573
41.25,43.25,201808,5.3328
41.25,43.25,201809,4.6968
41.25,43.25,201810,3.4358
41.25,43.25,201811,2.0256
41.25,43.25,201812,1.391
41.25,43.25,201813,4.0666
41.25,43.25,201901,1.9968
41.25,43.25,201902,3.3806
41.25,43.25,201903,3.7454
41.25,43.25,201904,4.7258
41.25,43.25,201905,6.2198
41.25,43.25,201906,6.047
41.25,43.25,201907,6.4054
41.25,43.25,201908,5.9066
41.25,43.25,201909,4.409
41.25,43.25,201910,3.7817
41.25,43.25,201911,2.5558
41.25,43.25,201912,1.7954
41.25,43.25,201913,4.2526
41.25,43.25,202001,1.9982
41.25,43.25,202002,2.819
41.25,43.25,202003,3.6595
41.25,43.25,202004,4.7714
41.25,43.25,202005,5.6093
41.25,43.25,202006,6.6403
41.25,43.25,202007,6.3619
41.25,43.25,202008,5.9575
41.25,43.25,202009,4.9795
41.25,43.25,202010,3.8705
41.25,43.25,202011,1.997
41.25,43.25,202012,1.8331
41.25,43.25,202013,4.2115
